Year,Location,Irrigation,Crop Type,Crop Damage,Yield,Observer
1980.0,Emilyland,Y,Wheat,1.0,1287.55,Ryan Stewart
1980.0,East Xavierport,Y,Wheat,1.0,1426.41,Tracie Bell
1980.0,North Daniel,N,Maize,0.0,796.92,Thomas Miller
1981.0,Emilyland,Y,Wheat,1.0,1305.04,Sara Nguyen
1981.0,East Xavierport,Y,Maize,1.0,1031.42,Tracie Bell
,,N,Soy,0.0,,Tammy Calderon
1981.0,North Daniel,N,Soy,0.0,1497.04,Tammy Calderon
1982.0,Emilyland,Y,Soy,1.0,1601.38,Sara Nguyen
1982.0,East Xavierport,Y,Soy,1.0,1727.6,Amanda Reed
1982.0,North Daniel,N,Soy,0.0,1496.62,Kevin Henry
1983.0,Emilyland,Y,Maize,1.0,923.89,Sara Nguyen
1983.0,East Xavierport,Y,Soy,1.0,1718.95,Emily Bernard
1983.0,North Daniel,N,Soy,0.0,1493.5,Kevin Henry
1984.0,Emilyland,Y,Soy,1.0,1624.51,Sara Nguyen
1984.0,East Xavierport,Y,Wheat,1.0,1427.39,Noah Maldonado
1984.0,North Daniel,N,Maize,0.0,794.4,Kevin Henry
1985.0,East Xavierport,Y,Soy,1.0,1730.43,Noah Maldonado
1985.0,North Daniel,N,Wheat,0.0,1196.51,James Todd
1985.0,North Daniel,,Wheat,0.0,1196.51,James Todd
1985.0,Emilyland,Y,Soy,1.0,1614.46,Diana Jones
1986.0,North Daniel,N,Wheat,0.0,1193.98,Patricia Lopez
1986.0,Emilyland,Y,Maize,0.0,943.42,Diana Jones
1986.0,East Xavierport,Y,Wheat,0.0,1442.34,Jennifer Patel
1987.0,North Daniel,N,Wheat,0.0,1195.31,Patricia Lopez
1987.0,Emilyland,y,Soy,1.0,1621.46,Karina Newman
1987.0,East Xavierport,Y,Soy,1.0,1729.5,Jennifer Patel
1988.0,North Daniel,N,Soy,0.0,1494.91,William Wright
1988.0,Emilyland,Y,Soy,0.0,1635.82,John Martinez
1988.0,East Xavierport,Y,Wheat,1.0,1430.95,Jennifer Patel
1989.0,North Daniel,N,Soy,0.0,1494.45,Jessica Hodges
1989.0,Emilyland,Y,Soy,0.0,1647.65,John Martinez
1989.0,East Xavierport,Y,Soy,0.0,1748.41,Jennifer Patel
1990.0,North Daniel,N,Maize,0.0,792.1,Jonathan Gregory
1990.0,East Xavierport,Y,Soy,1.0,1739.82,Martha Johnson
1990.0,Emilyland,Y,Maize,1.0,935.05,Sandra Thomas
1991.0,East Xavierport,Y,Soy,0.0,1744.47,Robert George
1991.0,North Daniel,N,Soy,0.0,1493.71,
1991.0,North Daniel,N,Soy,0.0,1493.71,Jonathan Gregory
1991.0,Emilyland,Y,Wheat,0.0,1331.78,Sandra Thomas
1992.0,East Xavierport,Y,Maize,1.0,1042.23,Alexander Johnson
1992.0,North Daniel,N,Maize,0.0,793.5,Jonathan Gregory
1992.0,Emilyland,Y,Maize,1.0,914.63,Sandra Thomas
1993.0,East Xavierport,Y,Wheat,0.0,1438.16,Alexander Johnson
1993.0,North Daniel,N,Soy,0.0,1493.67,Kelly George
1993.0,Emilyland,Y,Wheat,1.0,1325.23,Nicole Wall
1994.0,East Xavierport,Y,Wheat,0.0,1457.11,Alexander Johnson
1994.0,North Daniel,N,Wheat,0.0,1191.72,Natalie Branch
1994.0,Emilyland,Y,Maize,0.0,946.3,Nicole Wall
1995.0,East Xavierport,Y,Soy,0.0,1743.29,Martin Rivera
1995.0,North Daniel,N,Wheat,0.0,1189.68,Mary Torres
1995.0,Emilyland,Y,Wheat,0.0,1357.7,Tiffany Decker
1996.0,Emilyland,Y,Soy,0.0,1658.93,Tiffany Decker
1996.0,East Xavierport,Y,Soy,0.0,1744.3,Martin Rivera
1996.0,North Daniel,N,Soy,1.0,1484.35,Stephen Nelson
1997.0,Emilyland,Y,Maize,0.0,964.67,Tiffany Decker
1997.0,East Xavierport,Y,Maize,1.0,1053.26,Joe James
1997.0,North Daniel,N,Maize,0.0,789.63,Richard Gardner
1998.0,Emilyland,Y,Wheat,0.0,1355.3,Tiffany Decker
1998.0,East Xavierport,Y,Soy,0.0,1750.1,Joe James
